姓名,性別,年紀,體重,chest_max,shoulder_max,hand_max,back_max,belly_max,leg_max,胸體力值,肩體力值,手體力值,背體力值,腹體力值,腿體力值,菜單,菜單評分,難度
User_0,0,31,59.6,236,263,487,473,495,322,236,263,487,473,495,322,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': [], 'leg_menu': ['側臥抬腿'], 'belly_menu': []}",0.6230067191448356,1
User_1,0,41,52.6,231,222,395,300,238,291,231,222,395,300,238,291,"{'chest_menu': ['Cable機器飛鳥'], 'back_menu': ['直臂下拉', '划船'], 'shoulder_menu': ['臉拉', '俯身側平舉', '站姿啞鈴肩推'], 'hand_menu': ['鋼索三頭肌下壓'], 'leg_menu': ['體前屈', '臀橋'], 'belly_menu': ['提膝仰臥起坐', '腹肌滾輪', '懸吊式抬腿', '超人式']}",15.27024601174096,5
User_2,1,30,70.4,415,468,207,249,289,200,415,468,207,249,289,200,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['三頭伸展', '啞鈴過頭伸展'], 'leg_menu': ['側弓步'], 'belly_menu': ['棒式側邊抬腿']}",4.503195493222528,2
User_3,1,20,85.0,330,369,461,333,330,456,330,369,461,333,330,456,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': [], 'leg_menu': ['後踢腿'], 'belly_menu': []}",0.6230067191448356,1
User_4,1,48,64.8,339,338,430,207,466,342,339,338,430,207,466,342,"{'chest_menu': ['吊環飛鳥'], 'back_menu': ['單臂高位下拉'], 'shoulder_menu': ['前平舉'], 'hand_menu': ['過頭啞鈴伸展'], 'leg_menu': ['側臥抬腿', '小腿提踵', '靠牆深蹲'], 'belly_menu': ['羅馬椅仰臥起坐', 'V字起坐']}",9.571311132192905,2
User_5,1,35,98.5,440,391,466,380,379,308,440,391,466,380,379,308,"{'chest_menu': ['繩索交叉', '跪姿伏地挺身'], 'back_menu': [], 'shoulder_menu': ['面朝下肩部伸展'], 'hand_menu': ['二頭彎舉', '骷髏破碎機', '三頭伸展', '彈力帶三頭肌伸展'], 'leg_menu': ['體前屈', '臀橋'], 'belly_menu': []}",10.843948070072436,2
User_6,1,48,96.5,456,445,410,369,238,397,456,445,410,369,238,397,"{'chest_menu': ['上斜啞鈴臥推'], 'back_menu': ['划船'], 'shoulder_menu': ['面朝下肩部伸展'], 'hand_menu': ['Zottman彎舉', '反向握法彎舉'], 'leg_menu': ['硬舉'], 'belly_menu': ['毛巾捲腹']}",8.871898944354655,5
User_7,1,34,87.4,339,298,279,291,375,458,339,298,279,291,375,458,"{'chest_menu': ['蜘蛛人伏地挺身'], 'back_menu': ['T槓划船'], 'shoulder_menu': ['俯身側平舉', '側平舉', 'T字俯臥撐'], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': ['反向弓箭步'], 'belly_menu': ['棒式側邊抬腿', '腹肌滾輪', '自行車式仰臥起坐', '毛巾捲腹', '俄羅斯轉體', '鳥狗式', '藥球傳遞']}",16.229381870246478,3
User_8,0,33,52.9,396,425,206,498,354,329,396,425,206,498,354,329,"{'chest_menu': ['窄距伏地挺身', '臥推', '啞鈴臥推'], 'back_menu': ['划船', '滑輪下拉', '直臂下拉'], 'shoulder_menu': ['阿諾推舉', '臉拉'], 'hand_menu': ['三頭伸展', '骷髏破碎機'], 'leg_menu': ['單腿硬舉', '腿部推舉', '深蹲', '彈力帶深蹲'], 'belly_menu': ['提膝仰臥起坐']}",17.37412784251057,3
User_9,0,30,57.1,318,214,401,310,421,409,318,214,401,310,421,409,"{'chest_menu': ['啞鈴臥推', 'Cable機器飛鳥'], 'back_menu': ['划船'], 'shoulder_menu': ['肩上推舉'], 'hand_menu': ['反向握法彎舉'], 'leg_menu': ['抬腿', '驢子踢腿', '直腿硬舉'], 'belly_menu': ['傑克刀', '棒式側邊抬腿', '眼鏡蛇式']}",11.939724182940312,5
User_10,0,51,65.4,275,211,289,367,226,242,275,211,289,367,226,242,"{'chest_menu': ['臥推', '史密斯臥推', '窄距伏地挺身', '啞鈴飛鳥'], 'back_menu': ['繩索下拉'], 'shoulder_menu': ['肩上推舉'], 'hand_menu': ['鋼索三頭肌下壓'], 'leg_menu': ['體前屈'], 'belly_menu': ['自行車式仰臥起坐']}",11.15042421897822,4
User_11,1,36,74.0,491,219,340,241,255,274,491,219,340,241,255,274,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': [], 'belly_menu': ['提膝仰臥起坐']}",2.3317871910032832,1
User_12,0,63,57.1,426,466,360,393,245,220,426,466,360,393,245,220,"{'chest_menu': ['蝴蝶機夾胸'], 'back_menu': ['引體向上'], 'shoulder_menu': ['YTWL肩部訓練', '啞鈴推舉'], 'hand_menu': ['骷髏破碎機', '過頭啞鈴伸展'], 'leg_menu': ['俄羅斯深蹲'], 'belly_menu': ['V字起坐']}",10.10981244149211,5
User_13,0,48,53.3,309,209,226,375,493,249,309,209,226,375,493,249,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': [], 'leg_menu': [], 'belly_menu': ['鳥狗式', '毛巾捲腹']}",2.1913203380018587,1
User_14,1,28,70.6,214,364,403,393,450,226,214,364,403,393,450,226,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': ['啞鈴推舉'], 'hand_menu': ['彈力帶二頭肌彎舉', '彈力帶三頭肌伸展'], 'leg_menu': [], 'belly_menu': ['V字起坐']}",5.3312035340748345,2
User_15,1,22,82.0,328,472,280,356,284,477,328,472,280,356,284,477,"{'chest_menu': ['啞鈴臥推', '臥推', '啞鈴飛鳥'], 'back_menu': ['反向划船', '單臂啞鈴划船'], 'shoulder_menu': ['前平舉'], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': ['抬腿'], 'belly_menu': ['羅馬椅仰臥起坐', 'V字起坐']}",11.960013034022182,5
User_16,0,24,65.5,483,258,396,207,340,353,483,258,396,207,340,353,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': ['滑輪下拉'], 'shoulder_menu': ['阿諾推舉', 'YTWL肩部訓練', '啞鈴推舉', '槓鈴肩推'], 'hand_menu': ['啞鈴過頭伸展', '過頭啞鈴伸展'], 'leg_menu': ['膝蓋深蹲'], 'belly_menu': ['眼鏡蛇式', '仰臥抬腿', 'V字起坐']}",15.14573913459785,3
User_17,0,35,59.7,442,261,267,335,371,481,442,261,267,335,371,481,"{'chest_menu': ['上斜槓鈴臥推', '窄距伏地挺身'], 'back_menu': ['吊環引體向上', '坐姿划船', '反向高位下拉'], 'shoulder_menu': ['臉拉'], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': ['深蹲'], 'belly_menu': ['棒式側邊抬腿']}",11.545283316020008,5
User_18,0,18,78.7,297,224,453,209,203,444,297,224,453,209,203,444,"{'chest_menu': ['臥推'], 'back_menu': ['單臂啞鈴划船'], 'shoulder_menu': ['坐姿啞鈴肩推'], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': ['靠牆深蹲'], 'belly_menu': ['自行車式仰臥起坐', '腹肌滾輪', '羅馬椅仰臥起坐']}",9.43862588058262,5
User_19,1,24,50.5,229,295,375,351,330,428,229,295,375,351,330,428,"{'chest_menu': ['彈力帶胸部推舉'], 'back_menu': [], 'shoulder_menu': ['啞鈴推舉', '俯身側平舉', '蝴蝶機反向飛鳥', '面朝下肩部伸展'], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': ['側臥抬腿', '踢腿', '靠牆深蹲', '臀橋'], 'belly_menu': ['超人式', '俄羅斯轉體']}",13.39267715355175,2
User_20,0,22,66.4,274,278,486,283,428,407,274,278,486,283,428,407,"{'chest_menu': ['上斜啞鈴臥推', '吊環飛鳥', '蜘蛛人伏地挺身'], 'back_menu': ['滑輪下拉', 'Cable機器划船', 'T槓划船'], 'shoulder_menu': ['前平舉', '臉拉'], 'hand_menu': ['集中彎舉', '二頭彎舉'], 'leg_menu': ['膝蓋深蹲', '體前屈'], 'belly_menu': ['腹肌滾輪']}",16.52409353420046,4
User_21,0,19,73.9,418,329,266,341,339,315,418,329,266,341,339,315,"{'chest_menu': ['史密斯臥推', '啞鈴飛鳥', '蝴蝶機夾胸', '上斜啞鈴臥推', '繩索交叉', '吊環飛鳥'], 'back_menu': ['單臂啞鈴划船'], 'shoulder_menu': ['臉拉'], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': ['髖部推力'], 'belly_menu': ['腹肌滾輪']}",14.179496286876992,3
User_22,0,43,73.3,397,276,393,217,264,205,397,276,393,217,264,205,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': ['繩索下拉'], 'shoulder_menu': ['俯身側平舉', '坐姿啞鈴肩推'], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': [], 'belly_menu': ['懸掛舉腿']}",7.979997909652535,3
User_23,1,61,97.9,219,337,367,239,285,427,219,337,367,239,285,427,"{'chest_menu': ['Cable機器飛鳥'], 'back_menu': ['T槓划船'], 'shoulder_menu': ['啞鈴推舉', 'T字俯臥撐'], 'hand_menu': ['三頭伸展'], 'leg_menu': ['驢子踢腿'], 'belly_menu': ['俄羅斯轉體', '傑克刀', '自行車式仰臥起坐', '藥球傳遞']}",11.89226080722118,3
User_24,0,57,52.0,332,210,366,350,424,326,332,210,366,350,424,326,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': [], 'shoulder_menu': ['前平舉', '側平舉', '臉拉', '面朝下肩部伸展', '蝴蝶機反向飛鳥'], 'hand_menu': ['二頭彎舉'], 'leg_menu': ['抬腿'], 'belly_menu': ['仰臥抬腿']}",11.432239032654607,2
User_25,0,35,91.8,376,405,335,439,456,291,376,405,335,439,456,291,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': ['前平舉', 'YTWL肩部訓練'], 'hand_menu': [], 'leg_menu': ['踢腿'], 'belly_menu': []}",3.4720678647121215,1
User_26,0,64,92.7,418,403,422,445,374,402,418,403,422,445,374,402,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': ['面朝下肩部伸展'], 'hand_menu': [], 'leg_menu': [], 'belly_menu': []}",1.4502435584975029,1
User_27,1,58,50.3,401,277,223,312,243,265,401,277,223,312,243,265,"{'chest_menu': ['蜘蛛人伏地挺身'], 'back_menu': ['坐姿划船', '划船'], 'shoulder_menu': ['T字俯臥撐'], 'hand_menu': ['法式推舉'], 'leg_menu': ['小腿提踵', '臀橋', '髖部推力', '腿部推舉'], 'belly_menu': ['懸吊式抬腿']}",11.27727716191463,4
User_28,1,59,65.8,463,404,400,303,449,435,463,404,400,303,449,435,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': ['滑輪下拉'], 'shoulder_menu': ['面朝下肩部伸展'], 'hand_menu': ['彈力帶二頭肌彎舉', '過頭啞鈴伸展'], 'leg_menu': ['驢子踢腿', '側弓步'], 'belly_menu': ['俄羅斯轉體', '超人式', 'V字起坐']}",11.782492590154472,4
User_29,0,29,79.4,435,468,257,365,467,426,435,468,257,365,467,426,"{'chest_menu': ['蝴蝶機夾胸', '史密斯臥推', '上斜啞鈴臥推'], 'back_menu': ['直臂下拉'], 'shoulder_menu': ['槓鈴肩推'], 'hand_menu': ['彈力帶三頭肌伸展', '集中彎舉', '反向握法彎舉'], 'leg_menu': ['硬舉', '靠牆深蹲'], 'belly_menu': ['毛巾捲腹', '藥球傳遞', '瑞士球捲腹']}",15.767135758686146,4
User_30,1,34,83.5,415,252,214,251,227,435,415,252,214,251,227,435,"{'chest_menu': ['上斜啞鈴臥推', '繩索交叉'], 'back_menu': ['坐姿划船', 'Cable機器划船'], 'shoulder_menu': ['坐姿啞鈴肩推'], 'hand_menu': ['反向握法彎舉'], 'leg_menu': ['腿部推舉', '踢腿', '側弓步', '保加利亞分腿蹲'], 'belly_menu': ['棒式側邊抬腿']}",12.190274238795595,4
User_31,0,49,91.2,425,425,203,440,251,374,425,425,203,440,251,374,"{'chest_menu': ['繩索交叉'], 'back_menu': [], 'shoulder_menu': ['蝴蝶機反向飛鳥'], 'hand_menu': ['反手彎舉', '彈力帶三頭肌伸展', '反向握法彎舉', '啞鈴過頭伸展'], 'leg_menu': ['側臥抬腿'], 'belly_menu': ['棒式側邊抬腿', '鳥狗式']}",10.853894068685308,2
User_32,0,22,97.4,478,307,285,304,230,450,478,307,285,304,230,450,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': [], 'shoulder_menu': ['側平舉', '蝴蝶機反向飛鳥', '俯身側平舉'], 'hand_menu': ['鎚式彎舉'], 'leg_menu': ['靠牆深蹲', '俄羅斯深蹲'], 'belly_menu': ['自行車式仰臥起坐']}",9.327364177362345,2
User_33,0,36,75.1,474,212,209,315,386,495,474,212,209,315,386,495,"{'chest_menu': ['啞鈴臥推', '蝴蝶機夾胸'], 'back_menu': ['單臂啞鈴划船'], 'shoulder_menu': ['前平舉', '面朝下肩部伸展'], 'hand_menu': ['彈力帶二頭肌彎舉', '鋼索三頭肌下壓', '鎚式彎舉'], 'leg_menu': ['體前屈'], 'belly_menu': ['仰臥抬腿', '龍旗']}",13.62150718737645,5
User_34,1,25,73.0,408,461,452,384,427,298,408,461,452,384,427,298,"{'chest_menu': ['Cable機器飛鳥', '史密斯臥推'], 'back_menu': ['坐姿划船', '繩索下拉'], 'shoulder_menu': ['臉拉', 'YTWL肩部訓練', '俯身側平舉'], 'hand_menu': ['反向握法彎舉', '集中彎舉'], 'leg_menu': ['髖部推力'], 'belly_menu': ['藥球傳遞']}",14.695142387660901,4
User_35,1,54,90.6,479,294,406,470,202,391,479,294,406,470,202,391,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': [], 'shoulder_menu': ['臉拉'], 'hand_menu': ['集中彎舉'], 'leg_menu': ['側弓步'], 'belly_menu': ['鳥狗式']}",6.314744239501712,2
User_36,1,64,61.1,371,285,200,277,416,311,371,285,200,277,416,311,"{'chest_menu': ['上斜啞鈴臥推', '彈力帶胸部推舉'], 'back_menu': ['反向高位下拉'], 'shoulder_menu': ['肩上推舉'], 'hand_menu': ['集中彎舉', '彈力帶二頭肌彎舉'], 'leg_menu': ['深蹲'], 'belly_menu': ['懸掛舉腿']}",10.344452053013512,3
User_37,1,25,64.3,449,336,375,313,483,500,449,336,375,313,483,500,"{'chest_menu': ['窄距臥推', '臥推', 'Cable機器飛鳥', '繩索交叉', '蝴蝶機夾胸', '史密斯臥推'], 'back_menu': ['單臂啞鈴划船'], 'shoulder_menu': ['臉拉', '啞鈴推舉'], 'hand_menu': ['Zottman彎舉'], 'leg_menu': ['踢腿', '體前屈'], 'belly_menu': ['傑克刀']}",16.477018054190385,3
User_38,0,56,71.6,208,204,389,205,413,281,208,204,389,205,413,281,"{'chest_menu': ['史密斯臥推', '啞鈴飛鳥'], 'back_menu': ['直臂下拉'], 'shoulder_menu': ['阿諾推舉', '俯身側平舉', '肩上推舉'], 'hand_menu': ['啞鈴過頭伸展', '三頭伸展', '彈力帶三頭肌伸展'], 'leg_menu': [], 'belly_menu': ['V字起坐', '懸掛舉腿']}",14.548852277304043,3
User_39,0,64,83.0,408,292,496,378,240,480,408,292,496,378,240,480,"{'chest_menu': ['彈力帶胸部推舉', '吊環飛鳥'], 'back_menu': ['反向划船'], 'shoulder_menu': ['YTWL肩部訓練'], 'hand_menu': ['二頭彎舉', '骷髏破碎機', '集中彎舉'], 'leg_menu': ['臀橋'], 'belly_menu': ['藥球傳遞']}",11.53567664512893,2
User_40,1,56,90.0,297,292,389,209,452,203,297,292,389,209,452,203,"{'chest_menu': ['窄距伏地挺身'], 'back_menu': [], 'shoulder_menu': ['臉拉'], 'hand_menu': ['三頭伸展', '鋼索三頭肌下壓'], 'leg_menu': [], 'belly_menu': ['V字起坐']}",6.580473268036819,2
User_41,0,64,89.3,201,377,335,361,233,481,201,377,335,361,233,481,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': ['後踢腿'], 'belly_menu': []}",2.0156566224330366,1
User_42,1,49,77.2,220,335,340,341,273,346,220,335,340,341,273,346,"{'chest_menu': [], 'back_menu': ['反向划船'], 'shoulder_menu': ['T字俯臥撐'], 'hand_menu': ['反手彎舉'], 'leg_menu': ['體前屈'], 'belly_menu': ['自行車式仰臥起坐']}",5.491448898601435,2
User_43,0,33,53.8,373,296,260,292,386,380,373,296,260,292,386,380,"{'chest_menu': ['史密斯臥推'], 'back_menu': ['引體向上', '划船', '單臂啞鈴划船'], 'shoulder_menu': ['坐姿啞鈴肩推'], 'hand_menu': ['二頭彎舉', '鎚式彎舉'], 'leg_menu': ['單腿硬舉', '箱式深蹲', '踢腿'], 'belly_menu': ['眼鏡蛇式']}",13.10630070228114,4
User_44,0,48,90.9,257,321,253,242,279,482,257,321,253,242,279,482,"{'chest_menu': ['吊環飛鳥'], 'back_menu': ['坐姿划船', '單臂高位下拉'], 'shoulder_menu': ['側平舉', '前平舉', 'T字俯臥撐', 'YTWL肩部訓練'], 'hand_menu': ['二頭彎舉'], 'leg_menu': ['硬舉', '踢腿', '箱式深蹲', '體前屈', '腿部推舉', '髖部推力'], 'belly_menu': ['懸吊式抬腿']}",16.47183864581517,5
User_45,1,58,69.2,403,244,468,276,359,200,403,244,468,276,359,200,"{'chest_menu': ['啞鈴飛鳥', 'Cable機器飛鳥'], 'back_menu': ['T槓划船', '寬握引體向上'], 'shoulder_menu': ['肩上推舉'], 'hand_menu': ['法式推舉'], 'leg_menu': ['驢子踢腿', '髖部推力'], 'belly_menu': ['仰臥抬腿']}",11.183564436664645,4
User_46,0,30,92.7,348,259,339,231,241,492,348,259,339,231,241,492,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': [], 'belly_menu': []}",1.392649903288201,1
User_47,1,32,79.3,215,319,394,218,314,220,215,319,394,218,314,220,"{'chest_menu': ['窄距伏地挺身'], 'back_menu': ['反向划船'], 'shoulder_menu': [], 'hand_menu': ['二頭彎舉'], 'leg_menu': ['體前屈'], 'belly_menu': ['俄羅斯轉體']}",5.735262663908551,2
User_48,0,28,88.7,368,371,440,209,288,457,368,371,440,209,288,457,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': [], 'leg_menu': ['後踢腿'], 'belly_menu': []}",0.6230067191448356,1
User_49,1,37,68.3,260,306,370,500,480,318,260,306,370,500,480,318,"{'chest_menu': ['蝴蝶機夾胸'], 'back_menu': [], 'shoulder_menu': ['面朝下肩部伸展'], 'hand_menu': ['法式推舉', '鋼索三頭肌下壓', '鎚式彎舉'], 'leg_menu': [], 'belly_menu': ['超人式']}",8.297000130905246,3
